strategy,solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,detected_priority,complexity_level,risk_level,gt_weight_surplus_usd,gt_weight_surplus_percentage,gt_weight_gas_cost,gt_weight_protocol_fees,gt_weight_total_hops,gt_weight_protocols_count,gt_weight_estimated_execution_time,gt_weight_solver_reputation_score,gt_weight_solver_success_rate
Reputation-Trust,15394,126063,713525,immediate,56,2.2908087538938724,4,False,False,True,balanced,24.82,28.01,0.19,46.98,True,2,1,"stable,volatile",native,2454.67,2415.28,dexscreener,0.901,1.44,48,True,0.944,api,2,2.65,0.108,0.74,swap,cost,moderate,high,0.1543,0.1328,0.1333,0.0633,0.0512,0.0563,0.0998,0.1775,0.1315
Gas-Optimized,20354,159417,3055128,good_til_cancel,63,2.029244845507095,3,True,False,True,minimize_gas,21.81,50.33,6.63,21.23,False,1,1,volatile,volatile,921.41,919.23,internal,0.924,1.12,59,True,0.907,web,3,0.62,0.0668,0.72,limit_order,cost,moderate,medium,0.1262,0.1275,0.2785,0.1362,0.1095,0.0591,0.065,0.047,0.051
Surplus-First,19268,250329,1552233,immediate,59,2.723273696521597,4,False,False,False,maximize_output,78.68,10.08,13.21,-1.97,False,2,1,volatile,"stable,volatile",21039.65,20815.42,dexscreener,0.856,2.62,75,False,0.797,mobile,3,61.27,0.2912,0.36,complex_defi,output,moderate,high,0.3022,0.2577,0.0646,0.0505,0.0302,0.0374,0.0632,0.1128,0.0814
Gas-Optimized,27624,296675,6960657,immediate,56,2.457429049563159,2,False,False,True,minimize_gas,23.77,66.05,11.88,-1.71,True,1,1,native,volatile,618.86,619.34,coingecko,0.919,0.65,25,True,0.916,web,3,0.9,0.1456,0.43,limit_order,cost,simple,medium,0.1258,0.1203,0.2872,0.133,0.1067,0.0424,0.0613,0.0799,0.0434
Gas-Optimized,30901,312546,7000943,good_til_cancel,79,2.1054293065664167,3,True,True,True,minimize_gas,16.63,58.72,11.26,13.38,True,1,1,native,volatile,572.78,555.71,dexscreener,0.948,1.67,41,False,0.79,mobile,3,0.15,0.026,0.54,limit_order,cost,moderate,medium,0.1185,0.1191,0.2784,0.1398,0.1018,0.0772,0.055,0.0478,0.0624
Gas-Optimized,24445,377277,4544729,immediate,50,2.118122611258856,2,False,True,True,minimize_gas,28.0,67.44,12.41,-7.85,False,1,1,stable,volatile,793.95,774.07,internal,0.883,1.05,31,True,0.841,mobile,1,0.97,0.1223,0.6,limit_order,cost,moderate,medium,0.0989,0.0861,0.3314,0.1217,0.124,0.0606,0.0333,0.0638,0.0802
Surplus-First,25967,258825,1520990,good_til_cancel,83,2.551525082769144,4,True,False,False,maximize_output,68.52,6.68,12.1,12.7,False,1,1,native,native,31531.47,32041.94,internal,0.916,2.13,46,False,0.721,web,5,79.3,0.2515,0.42,swap,output,moderate,high,0.2762,0.2389,0.0768,0.0324,0.04,0.038,0.0719,0.1278,0.098
Gas-Optimized,19810,125304,3158187,good_til_cancel,42,2.435357597784118,2,False,False,True,minimize_gas,25.48,69.58,14.3,-9.35,True,1,1,stable,volatile,97.19,97.43,internal,0.848,1.85,54,False,0.773,api,2,0.12,0.1283,0.63,limit_order,cost,simple,medium,0.0958,0.1148,0.3349,0.0942,0.1221,0.0565,0.0667,0.0701,0.0449
Surplus-First,19840,84092,2692796,immediate,86,2.958940901672234,3,False,False,True,maximize_output,67.34,10.82,7.33,14.51,False,1,2,stable,"stable,volatile",7351.21,7227.26,coingecko,0.97,2.0,57,False,0.933,web,1,17.42,0.2369,0.72,complex_defi,output,moderate,high,0.3128,0.2404,0.0745,0.0298,0.0326,0.027,0.0714,0.0939,0.1176
Surplus-First,14205,140103,3394578,good_til_cancel,81,2.9052006924854523,4,False,True,False,maximize_output,77.06,5.3,6.39,11.25,False,2,2,native,stable,22214.7,22274.75,coingecko,0.97,1.73,51,False,0.945,mobile,3,14.65,0.0659,0.49,complex_defi,output,complex,high,0.281,0.22,0.0927,0.0585,0.0275,0.0237,0.0791,0.0873,0.1302
Gas-Optimized,19599,275084,5728689,immediate,51,2.319150608951691,2,True,False,True,minimize_gas,21.91,60.47,8.94,8.68,True,1,1,volatile,volatile,223.43,225.08,internal,0.861,0.89,40,True,0.841,telegram,3,0.1,0.0431,0.97,limit_order,cost,moderate,medium,0.1127,0.127,0.2725,0.1509,0.0821,0.0728,0.0405,0.0691,0.0724
Reputation-Trust,19974,140542,1430442,immediate,46,2.3955909896036336,3,False,False,False,maximize_output,30.38,19.43,8.62,41.57,True,2,2,"native,stable",stable,9581.33,9425.57,internal,0.959,2.48,60,True,0.803,mobile,3,10.49,0.1095,0.84,complex_defi,output,moderate,high,0.1234,0.0953,0.1282,0.0777,0.0346,0.0393,0.0941,0.2208,0.1866
Gas-Optimized,16341,333459,4997231,good_til_cancel,41,2.063812877709546,2,False,True,False,minimize_gas,29.35,63.3,10.57,-3.21,True,1,1,volatile,native,715.2,719.78,dexscreener,0.941,0.86,24,False,0.898,mobile,0,1.01,0.1409,0.56,swap,cost,moderate,medium,0.119,0.094,0.2987,0.1372,0.1072,0.067,0.0335,0.071,0.0724
Gas-Optimized,31309,383205,5989474,good_til_cancel,54,2.232329575562146,2,False,True,True,minimize_gas,20.78,54.47,12.56,12.19,False,1,1,native,stable,930.02,932.7,internal,0.889,0.52,41,False,0.913,api,2,0.9,0.097,0.58,limit_order,cost,moderate,medium,0.1358,0.0992,0.2754,0.1227,0.1105,0.077,0.0505,0.0601,0.0688
Surplus-First,29078,165068,2541299,immediate,84,2.518382582033876,4,True,True,True,maximize_output,67.54,9.49,10.98,11.99,False,1,1,"native,stable","stable,volatile",21444.83,21845.26,dexscreener,0.976,2.15,30,True,0.765,mobile,3,30.78,0.1435,0.53,limit_order,output,complex,high,0.2871,0.2428,0.0519,0.0721,0.0311,0.026,0.0867,0.0776,0.1247
Surplus-First,26892,276459,448600,immediate,89,2.9241758901188764,3,False,True,False,maximize_output,78.46,14.29,14.59,-7.34,False,2,2,stable,stable,19984.26,19864.14,internal,0.874,2.03,36,False,0.823,web,4,35.69,0.1786,0.38,complex_defi,output,moderate,high,0.2738,0.2596,0.0603,0.0656,0.028,0.0333,0.0678,0.1148,0.0968
Gas-Optimized,15456,169412,1578516,good_til_cancel,64,2.1962910385581544,2,False,True,False,minimize_gas,21.21,61.12,7.53,10.14,False,1,1,native,native,961.12,961.28,dexscreener,0.883,1.97,48,False,0.896,mobile,0,0.41,0.0422,0.84,swap,cost,moderate,medium,0.1455,0.0916,0.3056,0.1066,0.1251,0.0639,0.0632,0.0531,0.0454
Reputation-Trust,15631,110695,1164137,good_til_cancel,62,2.7436841228738844,3,True,False,True,maximize_output,26.92,21.8,12.75,38.54,True,2,2,"stable,volatile","stable,volatile",9993.37,9953.75,internal,0.979,1.13,64,False,0.953,api,5,8.2,0.0821,0.55,complex_defi,output,moderate,high,0.1048,0.1243,0.1185,0.1002,0.0636,0.0541,0.0714,0.2053,0.1578
Gas-Optimized,44871,226241,4614206,good_til_cancel,50,2.1095683867247663,2,False,False,False,minimize_gas,20.22,58.75,7.69,13.34,True,1,1,stable,stable,452.93,452.15,coingecko,0.814,1.54,23,False,0.763,telegram,3,0.18,0.0394,0.48,swap,cost,simple,medium,0.1221,0.1275,0.2882,0.1201,0.0829,0.0482,0.0666,0.0733,0.0711
Reputation-Trust,9144,126612,1553268,fill_or_kill,55,2.4018167052271004,2,True,True,True,maximize_output,23.09,25.18,-0.84,52.58,True,2,1,"stable,volatile",volatile,6597.45,6650.3,coingecko,0.881,1.66,31,False,0.901,web,6,11.23,0.1702,0.5,complex_defi,cost,moderate,high,0.1204,0.0845,0.1361,0.0922,0.061,0.0452,0.0756,0.2169,0.1681
Gas-Optimized,30201,336346,6123834,immediate,73,2.181006124156001,3,False,False,True,minimize_gas,26.23,52.33,9.6,11.84,False,1,1,volatile,native,826.27,807.43,coingecko,0.923,1.82,24,False,0.806,telegram,0,0.71,0.0865,0.66,limit_order,cost,simple,medium,0.1534,0.1181,0.2979,0.1272,0.0795,0.0554,0.0334,0.0802,0.0549
Gas-Optimized,27085,164319,3244665,immediate,75,2.0127326310757185,3,True,False,True,minimize_gas,28.02,52.48,10.53,8.98,False,1,1,volatile,stable,958.3,954.22,internal,0.885,1.35,52,True,0.873,mobile,3,0.27,0.0283,0.44,limit_order,cost,moderate,medium,0.0951,0.099,0.3345,0.1008,0.1128,0.0837,0.0398,0.06,0.0743
Surplus-First,20869,69931,667089,good_til_cancel,53,2.588996081777717,4,True,True,False,maximize_output,74.94,6.54,9.59,8.93,False,2,2,"stable,volatile","stable,volatile",47017.68,46672.39,dexscreener,0.938,2.3,71,True,0.889,web,5,123.22,0.2621,0.48,complex_defi,output,complex,high,0.289,0.2204,0.0811,0.0581,0.0274,0.046,0.0665,0.1324,0.0791
Reputation-Trust,15208,91205,1544339,fill_or_kill,69,2.745063859933873,2,False,False,True,maximize_output,23.62,15.79,7.11,53.48,True,2,2,native,"stable,volatile",4605.2,4543.41,internal,0.96,1.16,65,True,0.834,web,4,5.64,0.1226,0.44,complex_defi,output,moderate,medium,0.147,0.1095,0.1253,0.0867,0.0433,0.0351,0.1084,0.1641,0.1806
Reputation-Trust,13037,150515,1769600,fill_or_kill,61,2.2801583214480794,2,False,True,True,balanced,25.42,15.95,10.71,47.93,True,3,2,stable,stable,8323.66,8287.41,internal,0.929,2.17,58,False,0.947,telegram,5,5.68,0.0682,0.37,complex_defi,output,moderate,high,0.1539,0.1366,0.1307,0.0751,0.0631,0.0466,0.0828,0.173,0.1382
Reputation-Trust,15527,156798,1262073,immediate,60,2.7307834997048923,4,True,False,True,balanced,30.06,17.5,13.61,38.83,True,2,2,"stable,volatile,native",volatile,3937.0,3869.16,dexscreener,0.94,1.87,29,True,0.916,api,6,1.72,0.0437,0.45,complex_defi,output,complex,high,0.1159,0.1296,0.1304,0.0614,0.0601,0.0655,0.124,0.1493,0.1638
Reputation-Trust,14223,153047,813378,good_til_cancel,50,2.312953544186133,4,True,True,True,balanced,27.92,16.05,10.12,45.9,True,3,1,volatile,native,697.25,692.88,dexscreener,0.953,2.04,31,False,0.953,api,4,1.25,0.1798,0.66,complex_defi,output,complex,medium,0.1297,0.146,0.1449,0.0813,0.0552,0.0272,0.0927,0.1475,0.1755
Surplus-First,12050,211348,726779,good_til_cancel,73,2.6629924557994094,4,True,False,False,maximize_output,64.3,7.78,12.04,15.88,False,2,2,"native,stable",stable,720.28,715.9,dexscreener,0.93,2.72,75,False,0.93,web,5,0.6,0.0835,0.36,complex_defi,output,complex,medium,0.2856,0.2222,0.0862,0.0565,0.0331,0.0246,0.0704,0.0947,0.1267
Surplus-First,10569,208705,3152320,immediate,64,2.762634592142501,3,True,True,True,maximize_output,77.46,9.73,5.45,7.36,False,2,2,"stable,volatile",native,549.82,560.59,dexscreener,0.936,1.88,59,True,0.907,api,5,0.73,0.1334,0.56,complex_defi,output,complex,medium,0.2891,0.2619,0.0843,0.0496,0.0257,0.0325,0.0749,0.0826,0.0994
Surplus-First,26110,236185,741122,immediate,78,2.761331188151793,3,True,True,False,maximize_output,78.78,8.67,5.13,7.42,False,1,1,stable,native,40220.6,40985.13,dexscreener,0.876,2.77,55,True,0.758,telegram,5,70.3,0.1748,0.68,swap,output,moderate,high,0.2718,0.2158,0.0731,0.0583,0.0402,0.0255,0.0693,0.1219,0.1241
Reputation-Trust,18110,174242,1070032,good_til_cancel,55,2.3344118473003244,4,True,False,False,balanced,32.59,24.78,-7.58,50.21,True,2,2,native,stable,4548.88,4555.24,coingecko,0.933,1.64,25,True,0.891,api,3,7.06,0.1552,0.76,complex_defi,output,complex,high,0.109,0.0949,0.142,0.0947,0.0379,0.0583,0.1049,0.2139,0.1444
Reputation-Trust,18896,147153,517022,fill_or_kill,74,2.6128120191898145,4,True,False,False,maximize_output,26.96,20.66,-0.78,53.16,True,2,1,volatile,"stable,volatile",7442.06,7299.62,dexscreener,0.936,1.98,42,False,0.89,telegram,6,4.58,0.0615,0.61,swap,output,moderate,high,0.1447,0.1224,0.084,0.0752,0.0583,0.0258,0.1013,0.2065,0.1818
Reputation-Trust,12987,135182,929688,good_til_cancel,69,2.61055787602031,4,True,True,False,balanced,27.15,28.53,7.45,36.88,True,2,1,"native,stable",stable,2475.07,2461.59,internal,0.905,1.38,31,True,0.935,mobile,4,2.32,0.0937,0.56,swap,cost,complex,high,0.1536,0.1024,0.0918,0.0872,0.0349,0.0364,0.075,0.2357,0.183
Reputation-Trust,14726,104743,1263309,good_til_cancel,72,2.4522859419721605,3,True,True,True,maximize_output,28.45,18.77,16.15,36.62,True,3,1,native,volatile,1990.46,1982.6,dexscreener,0.908,1.08,47,False,0.909,mobile,6,1.74,0.0872,0.46,complex_defi,output,complex,medium,0.1213,0.1021,0.1339,0.0437,0.0586,0.0632,0.1079,0.2064,0.1629
Gas-Optimized,16915,171351,2515797,immediate,43,2.081684761352789,3,True,False,False,minimize_gas,19.53,69.87,13.41,-2.82,True,1,1,native,native,300.32,300.08,coingecko,0.83,0.7,29,True,0.752,web,1,0.19,0.0629,0.74,swap,cost,moderate,medium,0.1126,0.0977,0.312,0.1055,0.0972,0.073,0.0539,0.0899,0.0582
Reputation-Trust,14938,173474,480422,fill_or_kill,75,2.406227281259139,2,False,True,True,balanced,29.24,26.3,-5.51,49.97,True,3,2,"stable,volatile,native",stable,9401.08,9364.89,dexscreener,0.883,1.95,40,False,0.912,telegram,1,13.57,0.1444,0.4,complex_defi,output,moderate,high,0.1132,0.1357,0.0895,0.0745,0.0574,0.0621,0.1172,0.1937,0.1567
Reputation-Trust,11275,93808,1492013,immediate,59,2.5757999862170133,3,True,True,False,balanced,31.14,18.23,9.32,41.31,True,2,1,stable,native,5810.85,5726.96,dexscreener,0.884,1.2,63,False,0.861,api,1,11.22,0.1931,0.76,swap,output,complex,high,0.1529,0.1019,0.1404,0.0592,0.0624,0.0625,0.065,0.1899,0.1658
Surplus-First,22781,184410,1401529,good_til_cancel,83,2.935138867924863,3,False,False,False,maximize_output,75.05,10.33,8.8,5.83,False,1,1,"native,stable",native,37434.45,38117.53,dexscreener,0.929,2.48,47,False,0.768,web,2,79.95,0.2136,0.5,swap,output,simple,high,0.2977,0.25,0.0788,0.054,0.0235,0.0274,0.0768,0.0842,0.1076
Reputation-Trust,14829,47990,1089898,good_til_cancel,68,2.554079653600964,4,True,False,True,balanced,25.7,27.87,-7.71,54.13,True,3,1,"stable,volatile","stable,volatile",5173.21,5075.86,coingecko,0.968,2.34,53,False,0.875,api,5,6.52,0.1261,0.76,complex_defi,cost,complex,high,0.1193,0.1067,0.1245,0.0569,0.0632,0.0615,0.1006,0.2237,0.1436
Reputation-Trust,17737,139340,1395763,fill_or_kill,73,2.37933754534757,3,True,True,True,balanced,22.43,15.77,9.89,51.9,True,1,2,"native,stable","stable,volatile",8593.17,8539.26,coingecko,0.916,2.01,47,False,0.855,api,5,10.84,0.1261,0.58,complex_defi,output,complex,high,0.1265,0.1468,0.1109,0.0811,0.0482,0.0754,0.0776,0.1901,0.1434
Gas-Optimized,22335,149313,4295765,good_til_cancel,76,2.1393185287062813,3,True,True,True,minimize_gas,28.75,53.67,8.77,8.81,True,1,1,volatile,stable,843.37,843.09,internal,0.839,0.73,42,False,0.768,mobile,1,0.31,0.0365,0.82,limit_order,cost,moderate,medium,0.1597,0.102,0.3154,0.0953,0.1271,0.0498,0.044,0.06,0.0467
Surplus-First,29176,139669,2372407,immediate,64,2.5134200073451534,3,True,False,False,maximize_output,71.08,5.42,13.26,10.24,False,1,2,"stable,volatile",volatile,19397.59,19391.3,internal,0.934,1.54,78,False,0.823,web,4,45.85,0.2364,0.59,complex_defi,output,moderate,high,0.2717,0.2543,0.0722,0.0477,0.0362,0.0209,0.067,0.1066,0.1234
Reputation-Trust,18808,173915,860779,immediate,72,2.294679071837297,3,False,True,False,maximize_output,32.69,15.77,0.68,50.86,True,2,1,volatile,"stable,volatile",4309.23,4297.9,dexscreener,0.967,2.43,61,True,0.823,api,6,5.08,0.1179,0.48,complex_defi,output,moderate,medium,0.1011,0.1216,0.135,0.0621,0.0576,0.0647,0.0838,0.186,0.1881
Reputation-Trust,15598,164254,683669,good_til_cancel,55,2.6591468063926667,3,True,False,False,maximize_output,27.48,21.87,-2.98,53.64,True,2,2,"native,stable",stable,9769.12,9644.87,dexscreener,0.891,1.5,41,True,0.857,web,1,17.91,0.1833,0.42,complex_defi,output,moderate,high,0.1516,0.1301,0.1156,0.0592,0.0374,0.0543,0.1182,0.1776,0.156
Gas-Optimized,23646,177265,6644866,immediate,48,2.145049124965868,2,False,True,True,minimize_gas,19.66,60.37,10.39,9.59,False,1,1,volatile,stable,188.94,183.92,dexscreener,0.912,1.68,40,True,0.85,telegram,2,0.09,0.0471,0.49,limit_order,cost,moderate,medium,0.139,0.0882,0.2982,0.1293,0.1156,0.0692,0.0326,0.0504,0.0775
Surplus-First,13404,239699,2170417,immediate,64,2.8626253280166427,4,True,True,True,maximize_output,76.63,5.12,5.98,12.27,True,1,1,"native,stable",stable,33803.69,34085.04,coingecko,0.861,2.41,54,True,0.924,mobile,2,41.8,0.1236,0.63,limit_order,output,complex,high,0.24,0.2286,0.093,0.0638,0.038,0.0373,0.0825,0.0913,0.1255
Reputation-Trust,8217,136790,796128,immediate,74,2.5961772585283103,4,True,True,False,balanced,23.29,16.64,23.72,36.35,True,1,1,"native,stable",stable,3904.04,3852.78,coingecko,0.94,2.29,25,False,0.827,mobile,1,6.65,0.1704,0.51,swap,speed,complex,high,0.1293,0.1244,0.1374,0.0436,0.0558,0.0564,0.0744,0.1955,0.1832
Reputation-Trust,12466,89240,832424,good_til_cancel,61,2.4675185099113794,2,True,False,False,balanced,26.65,27.82,-0.47,45.99,True,3,2,volatile,stable,6894.37,6952.03,coingecko,0.961,1.61,34,True,0.898,web,2,9.41,0.1365,0.75,complex_defi,cost,moderate,high,0.141,0.0854,0.1222,0.0758,0.0465,0.0578,0.1026,0.1853,0.1834
Gas-Optimized,19252,213212,4913890,immediate,65,2.081394761391674,2,True,False,False,minimize_gas,22.17,52.63,7.72,17.48,True,1,1,native,volatile,745.88,738.61,internal,0.881,0.92,30,True,0.834,telegram,2,1.1,0.1478,0.94,swap,cost,moderate,medium,0.1039,0.1054,0.3168,0.1135,0.0895,0.0792,0.0589,0.0781,0.0547
Reputation-Trust,18198,74785,629058,immediate,69,2.708513622862069,4,False,True,False,maximize_output,26.23,28.4,-2.45,47.81,True,2,1,"native,stable",native,5547.84,5591.55,dexscreener,0.888,1.13,56,True,0.937,mobile,4,5.15,0.0928,0.38,swap,cost,moderate,high,0.1428,0.1258,0.0926,0.0869,0.0508,0.0371,0.0762,0.2064,0.1814
Gas-Optimized,23471,297192,4622535,good_til_cancel,73,2.2225871592832447,2,True,True,True,minimize_gas,15.62,54.56,9.36,20.47,True,1,1,native,stable,711.85,696.6,coingecko,0.888,1.64,35,False,0.862,mobile,1,0.8,0.1129,0.46,limit_order,cost,moderate,medium,0.1026,0.1143,0.3415,0.1117,0.1304,0.0458,0.0375,0.0682,0.048
Gas-Optimized,27776,209732,3718748,immediate,42,2.0779644963952504,2,True,False,False,minimize_gas,27.47,66.27,14.84,-8.59,True,1,1,volatile,volatile,278.37,280.19,internal,0.904,1.12,46,False,0.797,mobile,3,0.15,0.0529,0.41,swap,cost,moderate,medium,0.1425,0.0761,0.3455,0.1012,0.1176,0.0491,0.0328,0.0531,0.0821
Reputation-Trust,11010,70763,476451,good_til_cancel,75,2.5683247634367063,4,True,False,True,balanced,24.55,26.75,-6.06,54.76,True,2,2,"stable,volatile,native",stable,3193.18,3233.81,dexscreener,0.96,1.03,31,False,0.957,telegram,6,4.3,0.1347,0.36,complex_defi,cost,complex,high,0.1526,0.1363,0.1339,0.0804,0.0522,0.0303,0.0777,0.2072,0.1294
Surplus-First,19017,162547,1918249,good_til_cancel,79,2.708448234250745,4,True,True,False,maximize_output,73.35,14.59,9.93,2.13,False,1,2,stable,native,14856.79,14579.91,internal,0.966,2.43,32,False,0.941,telegram,5,24.45,0.1646,0.3,complex_defi,output,complex,high,0.2683,0.2524,0.0939,0.0409,0.0475,0.0361,0.0764,0.0931,0.0914
Gas-Optimized,32236,190980,3602415,immediate,42,2.000644412908404,2,False,False,False,minimize_gas,22.07,60.72,13.66,3.55,True,1,1,stable,native,319.71,321.5,coingecko,0.906,1.9,42,True,0.89,telegram,1,0.2,0.0614,0.87,swap,cost,simple,medium,0.1206,0.0804,0.3355,0.1269,0.0795,0.0813,0.062,0.064,0.0498
Surplus-First,11706,286402,3096320,good_til_cancel,57,2.6179829188917165,4,False,True,True,maximize_output,65.07,11.39,6.99,16.56,False,1,2,volatile,stable,26285.85,26778.8,internal,0.952,2.21,68,True,0.793,web,1,23.51,0.0894,0.35,complex_defi,output,moderate,high,0.2744,0.2579,0.0879,0.0539,0.0192,0.0346,0.0749,0.1191,0.0781
Reputation-Trust,12253,132968,1114143,fill_or_kill,49,2.337471996849397,3,True,True,False,maximize_output,20.73,16.32,27.74,35.21,True,3,1,"native,stable","stable,volatile",7130.73,6989.86,coingecko,0.884,1.16,52,False,0.897,telegram,6,3.74,0.0525,0.66,complex_defi,speed,complex,high,0.129,0.1269,0.0903,0.0953,0.0402,0.0576,0.0912,0.1775,0.192
Surplus-First,16986,140530,2404616,immediate,70,2.88321025867164,4,True,False,True,maximize_output,63.65,12.79,12.63,10.93,True,2,1,volatile,"stable,volatile",27160.21,27470.72,coingecko,0.929,1.74,63,False,0.863,telegram,5,31.87,0.1173,0.77,complex_defi,output,moderate,high,0.3082,0.2544,0.0615,0.0407,0.0375,0.0403,0.059,0.0912,0.1072
Surplus-First,22276,265048,1239258,immediate,67,2.9398035804133187,4,False,False,True,maximize_output,74.08,12.41,5.08,8.44,True,2,1,stable,stable,41110.69,40540.69,dexscreener,0.959,2.28,77,False,0.784,telegram,1,77.67,0.1889,0.5,complex_defi,output,moderate,high,0.2933,0.2468,0.0695,0.0321,0.0344,0.0435,0.0517,0.1263,0.1024
Reputation-Trust,12147,86661,686968,fill_or_kill,58,2.46460684746433,2,True,False,False,balanced,24.7,29.06,-8.66,54.9,True,2,1,"native,stable",volatile,1749.36,1754.29,dexscreener,0.973,1.99,59,False,0.902,telegram,6,1.7,0.0972,0.58,swap,cost,moderate,medium,0.1554,0.1226,0.1348,0.0667,0.0585,0.0265,0.0875,0.1679,0.1801
Reputation-Trust,16471,66183,1233290,immediate,65,2.2092955527906755,2,False,False,True,maximize_output,34.1,27.98,-6.93,44.84,True,1,2,native,"stable,volatile",1108.75,1106.73,dexscreener,0.955,1.65,38,False,0.858,telegram,4,2.17,0.1953,0.74,complex_defi,output,simple,medium,0.1522,0.1358,0.107,0.0832,0.0417,0.045,0.0941,0.16,0.181
Reputation-Trust,8234,80324,1619446,good_til_cancel,49,2.565250187247864,3,True,True,True,maximize_output,33.35,19.8,-2.4,49.24,True,2,1,"stable,volatile,native","stable,volatile",3076.23,3061.59,internal,0.911,1.78,42,False,0.94,telegram,4,4.32,0.1406,0.41,complex_defi,output,complex,medium,0.1175,0.1307,0.1248,0.0841,0.0405,0.0296,0.1116,0.205,0.1562
Gas-Optimized,42172,124478,1003865,good_til_cancel,65,2.1439228130779884,2,True,True,True,minimize_gas,28.7,62.88,11.66,-3.24,True,1,1,stable,native,690.37,679.27,coingecko,0.932,1.14,52,False,0.761,telegram,0,1.0,0.1442,0.99,limit_order,cost,moderate,medium,0.106,0.1027,0.3248,0.1475,0.0877,0.0734,0.0352,0.0573,0.0654
Gas-Optimized,42709,195157,2762725,immediate,59,2.2767586121750365,2,False,True,False,minimize_gas,19.38,50.79,6.22,23.61,True,1,1,stable,native,639.8,622.18,internal,0.885,1.51,51,True,0.785,api,0,0.19,0.0304,0.87,swap,cost,moderate,medium,0.103,0.1234,0.295,0.1335,0.0901,0.0543,0.0624,0.0757,0.0626
Surplus-First,21482,78489,1249192,immediate,58,2.946319250022771,3,True,True,False,maximize_output,72.92,8.91,6.93,11.23,True,2,2,stable,stable,39422.49,39455.0,internal,0.863,2.44,60,True,0.865,api,0,73.06,0.1853,0.61,complex_defi,output,complex,high,0.2434,0.2641,0.0804,0.0605,0.0424,0.0445,0.0477,0.1272,0.0898
Gas-Optimized,29649,165698,1833020,good_til_cancel,63,2.1625558062540366,3,True,False,False,minimize_gas,21.2,63.92,8.41,6.46,True,1,1,volatile,stable,155.24,151.86,internal,0.828,1.5,35,False,0.833,telegram,3,0.04,0.0264,0.4,swap,cost,moderate,medium,0.1255,0.0771,0.3557,0.0958,0.1025,0.0589,0.0463,0.086,0.0522
Surplus-First,27882,137326,2959380,good_til_cancel,69,2.8386445227525314,4,True,True,True,maximize_output,64.4,12.47,12.97,10.17,True,1,2,"native,stable",stable,8238.01,8173.65,internal,0.946,2.59,43,False,0.926,mobile,1,7.91,0.096,0.61,complex_defi,output,complex,high,0.2657,0.2041,0.0807,0.0563,0.0209,0.0411,0.0961,0.1143,0.1208
Reputation-Trust,11850,89317,938460,immediate,50,2.218915768433876,4,False,True,True,maximize_output,22.4,15.04,16.65,45.91,True,3,1,"stable,volatile,native","stable,volatile",789.04,779.4,internal,0.904,1.85,30,False,0.958,telegram,5,0.25,0.0321,0.72,complex_defi,output,complex,medium,0.1516,0.1128,0.1258,0.0759,0.0379,0.0282,0.0807,0.1863,0.2008
Gas-Optimized,24013,325171,3004268,good_til_cancel,57,2.2466911503346707,2,True,False,True,minimize_gas,19.41,53.68,14.96,11.95,True,1,1,native,stable,333.36,335.66,coingecko,0.904,1.21,40,True,0.882,web,3,0.34,0.1019,0.99,limit_order,cost,moderate,medium,0.1284,0.1156,0.3288,0.0887,0.1064,0.0811,0.0317,0.0636,0.0557
Gas-Optimized,44383,177327,3327157,immediate,55,2.3946758455693917,2,True,False,False,minimize_gas,23.3,56.06,6.44,14.2,False,1,1,stable,native,121.59,121.47,internal,0.911,1.82,34,True,0.887,telegram,1,0.17,0.1424,0.74,swap,cost,moderate,medium,0.1029,0.0833,0.3248,0.1381,0.1046,0.0735,0.0333,0.0617,0.0778
Reputation-Trust,17511,69027,242850,fill_or_kill,58,2.655479403067556,2,True,True,True,maximize_output,31.38,19.52,1.84,47.26,True,1,2,native,"stable,volatile",8239.65,8236.11,internal,0.889,2.08,54,True,0.836,telegram,1,13.38,0.1623,0.66,complex_defi,output,moderate,high,0.1446,0.1244,0.1126,0.0583,0.0447,0.0571,0.104,0.2042,0.1501
Gas-Optimized,33152,163833,3770228,immediate,50,2.194207137848933,3,False,True,False,minimize_gas,21.3,53.89,7.02,17.79,True,1,1,native,volatile,583.61,589.33,dexscreener,0.896,1.67,24,False,0.755,api,1,0.39,0.0672,0.91,swap,cost,moderate,medium,0.1273,0.1249,0.2645,0.1291,0.0777,0.085,0.032,0.0823,0.0772
Gas-Optimized,20820,353768,1966965,immediate,57,2.0025284329742594,2,True,True,True,minimize_gas,27.71,52.72,9.7,9.87,False,1,1,volatile,native,250.71,245.6,coingecko,0.949,0.61,54,False,0.751,web,0,0.31,0.1222,0.97,limit_order,cost,moderate,medium,0.1431,0.1255,0.2892,0.1033,0.1002,0.0473,0.0368,0.0692,0.0854
